edificio_id,codigo_region,region,heating_demand_kwh,calibration_target_source,calibration_target_fuel_energy_kwh,mvp_target_fuel_energy_kwh,mvp_assigned_useful_energy_kwh,mvp_unmet_heating_energy_kwh,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,profile_error_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count,is_best
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,11,8.0,1.0,2.0,16.0,0.01,True,,0.4566028969288387,1791.2321550388049,4154.8184164463,1181.659492201808,978.6467892587285,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,12,8.0,1.0,2.0,32.0,0.0,True,,0.24999920952644167,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,13,8.0,1.0,2.0,32.0,0.01,True,,0.5864626676730021,1611.312196857901,4154.8184164463,1271.4033637928933,1158.5667474396323,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,14,8.0,1.0,2.0,64.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,15,8.0,1.0,2.0,64.0,0.01,True,,0.8013374406727217,1313.8005152193232,4154.8184164463,1420.3898237854019,1456.07842907821,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,16,8.0,1.0,4.0,8.0,0.0,True,,0.241078206123208,2077.40920822315,4154.8184164463,1001.6361706045417,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,17,8.0,1.0,4.0,8.0,0.01,True,,0.3551359012111947,1919.4022179740862,4154.8184164463,1080.5077070708662,850.4767263234472,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,18,8.0,1.0,4.0,16.0,0.0,True,,0.246213926055148,2077.40920822315,4154.8184164463,1022.9741543594764,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,19,8.0,1.0,4.0,16.0,0.01,True,,0.41884039167940307,1838.7516132994906,4154.8184164463,1143.561785592017,931.1273309980428,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,20,8.0,1.0,4.0,32.0,0.0,True,,0.24904657450978193,2077.40920822315,4154.8184164463,1034.7432943261076,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,21,8.0,1.0,4.0,32.0,0.01,True,,0.5155846083622595,1706.3746276734985,4154.8184164463,1214.5739746856405,1063.5043166240346,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,22,8.0,1.0,4.0,64.0,0.0,True,,0.24937493300708533,2077.40920822315,4154.8184164463,1036.1075642579003,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,23,8.0,1.0,4.0,64.0,0.01,True,,0.6521676852056442,1518.079073159622,4154.8184164463,1311.312971444744,1251.7998711379112,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,24,8.0,2.0,1.0,8.0,0.0,True,,0.24991954381801199,2077.40920822315,4154.8184164463,1038.370323284934,692.4697360743833,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,25,8.0,2.0,1.0,8.0,0.01,True,,0.37753201033719636,1900.097508892972,4154.8184164463,1125.2977010215332,869.7814354045615,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,26,8.0,2.0,1.0,16.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,27,8.0,2.0,1.0,16.0,0.01,True,,0.4511381683084422,1798.818221897596,4154.8184164463,1177.9197042358812,971.0607223999374,0.0,0.0,520,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,28,8.0,2.0,1.0,32.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,520,False
